COUNT,House Amount (in thousands),Senate Amount (in thousands),Full-Year CR Amount (in thousands),Program Increase,Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Emergency Funding (Senate),Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,"$ 5,000","$ 5,000","$ 5,000",Mach-8 quiet wind tunnel / Mach-8 quiet wind tunnel construction,,,,Yes,,,Test & Evaluation Science & Technology,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000","$ 10,000",,MACH-TB integration of non-traditional suppliers into test program / MACH-TB,,,,Yes,,,Test & Evaluation Science & Technology,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 25,000",,Space testing facilities,,,,Yes,,,Test & Evaluation Science & Technology,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 2,500",,Thermal evaluation readiness materials analysis lab,,,,Yes,,,Test & Evaluation Science & Technology,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000","$ 5,000",,Fusion Linear Accelerator for Radiation Hardening of Microelectronics,156,"Steil (WI), Grothman (WI), Fitzgerald (WI)",,Yes,,,Trusted & Assured Microelectronics,Office of the Secretary of Defense,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,"$ 8,000",,,Microelectronics national security workforce development (SCALE),,,,Yes,,,Trusted & Assured Microelectronics,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Next generation silicon carbide (SiC) technology development,,,,Yes,,,Trusted & Assured Microelectronics,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,On-chip physical security,,,,Yes,,,Trusted & Assured Microelectronics,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 30,000",,,Optical /CMOS co-packaged devices,,,,No,,,Trusted & Assured Microelectronics,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Radiation hardened fully-depleted silicon on insulator microelectronics,,,,Yes,,,Trusted & Assured Microelectronics,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 4,000",,Radiation-hardened chiplet design acceleration,,,,No,,,Trusted & Assured Microelectronics,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 2,500",,Reliable and radiation tolerant microelectronics,,,,No,,,Trusted & Assured Microelectronics,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 1,500",,Trusted AI for microelectronics,,,,Yes,,,Trusted & Assured Microelectronics,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 15,000",,,Vertically integrated design and packaging,,,,Yes,,,Trusted & Assured Microelectronics,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 21,000","$ 4,000","$ 14,000",Synthetic vision avionics backbone / Synthetic vision avionics backbone technology / Synthetic vision avionics backbone technical refresh,,,,Yes,,,Aviation Systems,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 4,000",,,Advanced vehicle forensic engineering,,,,Yes,,,Intelligence Systems Development,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 10,000","$ 4,000","$ 4,000",MTUAS / MTUAS enhancements,,,,No,,,Intelligence Systems Development,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 5,000","$ 5,000",Quantum computing and quantum networking,,,,Yes,,,Intelligence Systems Development / SOF Advanced Technology Development,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 15,000",,,Small autonomous vessels for maritime SOF,,,,Yes,,,Maritime Systems,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 1,000","$ 1,000",Affordable attritable AUVs,,,,No,,,Maritime Systems / Unmanned Undersea Vehicle Core Technologies,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 1,000",,High speed assault craft integrated bridge system,,,,No,,,Operational Enhancements,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 10,200","$ 10,200",Loitering munition accelerated fielding and reliability testing acceleration (emergency),,,,No,,Yes,Operational Enhancements,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 7,500",,"$ 7,500",Secure transit through untrusted networks,,,,Yes,,,Operational Enhancements,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 5,000","$ 4,500","$ 4,500",Single-channel handheld enhancements,,,,Yes,,,Operational Enhancements,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 5,000","$ 4,500",Small autonomous vessels for maritime special operations forces / Small autonomous surface vessels for maritime SOF,,,,No,,,Operational Enhancements,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 12,000","$ 12,000",VTOL UAS upgrade,,,,No,,,Operational Enhancements,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 5,000","$ 5,000","$ 5,000",Amorphous silicon oxycarbide lithium-ion battery technology,,,,Yes,,,Operational Enhancements Intelligence,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 10,000","$ 5,000",Autonomous UAS droppable aircraft improvements,,,,No,,,Operational Enhancements Intelligence,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 5,000",,,Clandestine autonomous droppable aircraft capabilities,,,,Yes,,,Operational Enhancements Intelligence,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 2,000",,Eliminating battery supply chain risk with advanced technology,,,,No,,,Operational Enhancements Intelligence,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 12,500",,,Automated crew and workload reduction systems on fixed-wing aircraft,,,,Yes,,,SOF Advanced Technology Development,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 15,000",,,Identity management,,,,Yes,,,SOF Advanced Technology Development,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 5,000","$ 5,000",Signature analysis and assessments,,,,No,,,SOF Advanced Technology Development,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 5,000",,,Mobile mortar system,,,,Yes,,,SOF Tactical Vehicles,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 3,110","$ 3,110","$ 3,110",Assessment of commercial systems,,,,Yes,,,SOF Technology Development,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 5,000","$ 5,000",Cold weather layering system,,,,Yes,,,SOF Technology Development,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 6,550",,,Resilient waveforms for SOCOM tactical communication radios,,,,No,,,SOF Technology Development,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 2,000",,Wearable robotics for shock reduction,,,,Yes,,,SOF Technology Development,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 19,425",,,Program increase,,,,No,,,Special Programs,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 5,000","$ 5,000",Body armor optimization,,,,No,,,Warrior Systems,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 34,625","$ 34,625","$ 34,625",Counter unmanned systems (CUxS) & group 3 defeat acceleration / Counter unmanned systems & Group 3 defeat acceleration (emergency),,,,No,,Yes,Warrior Systems,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 4,000",,,Expeditionary additive manufacturing,,,,Yes,,,Warrior Systems,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 5,000",,,Female body armor,,,,Yes,,,Warrior Systems,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 2,500",,Platform agnostic data storage infrastructure,,,,Yes,,,Warrior Systems,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 8,000",,,Small Unmanned Systems (SUMS) – Quadruped Unmanned Ground Systems,34,"Davis (NC), Nunn (IA)",,Yes,,,Warrior Systems,United States Special Operations Command,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,"$ 9,500",,,SOF cold weather clothing,105,Luttrell (TX),,No,,,Warrior Systems,United States Special Operations Command,Defense-Wide,RDT&E,"RDT&E, Army"
,"$ 5,000",,,Spear body armor,,,,No,,,Warrior Systems,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 5,000",,Special operations longitudinal study,,,,Yes,,,Warrior Systems,United States Special Operations Command,Defense-Wide,RDT&E,
,,"$ 4,000",,Special operations TBI pilot program,,,,Yes,,,Warrior Systems,United States Special Operations Command,Defense-Wide,RDT&E,
,"$ 10,000",,,"For intel systems development, to fund systems operator workload for SOCOM",66,"Hudson (NC), Moylan (GU)",,Yes,,,,United States Special Operations Command,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,,"$ 3,000",,Beyond scaling technology,,,,Yes,,,Access and Awareness,,Defense-Wide,RDT&E,
,"$ 2,500","$ 928,846",,Classified adjustment,,,,No,,,Classified Programs,,Defense-Wide,RDT&E,
,,"$ 2,000",,Persistent Cyber Training Environment,,,,No,,,Cyber Training Environment (CTE),,Defense-Wide,RDT&E,
,,"$ 875,000",,Classified adjustment (emergency),,,,No,,Yes,DARPA Advanced Technology Development,,Defense-Wide,RDT&E,
,"$ 5,000",,"$ 5,000",Accountability bookkeeping dashboard,,,,Yes,,,Defense Innovation Unit (DIU) Fielding,,Defense-Wide,RDT&E,
,"$ 45,000",,"$ 45,000",Classified facility expansion for digital proving ground,,,,Yes,,,Defense Innovation Unit (DIU) Fielding,,Defense-Wide,RDT&E,
,"$ 10,000",,"$ 10,000",Innovation information repository expansion,,,,Yes,,,Defense Innovation Unit (DIU) Fielding,,Defense-Wide,RDT&E,
,"$ 10,000",,"$ 10,000",Marine Corps priorities,,,,Yes,,,Defense Innovation Unit (DIU) Fielding,,Defense-Wide,RDT&E,
,"$ 240,000",,"$ 240,000",Projects with Service programming commitment,,,,Yes,,,Defense Innovation Unit (DIU) Fielding,,Defense-Wide,RDT&E,
,"$ 15,000",,"$ 15,000",Reusable hypersonic technology,,,,Yes,,,Defense Innovation Unit (DIU) Fielding,,Defense-Wide,RDT&E,
,"$ 10,000",,"$ 10,000",Small craft electric propulsion,,,,Yes,,,Defense Innovation Unit (DIU) Fielding,,Defense-Wide,RDT&E,
,"$ 220,000",,"$ 220,000",Support to combatant commands,,,,Yes,,,Defense Innovation Unit (DIU) Fielding,,Defense-Wide,RDT&E,
,"$ 5,000",,,Endpoint accuracy,,,,Yes,,,Defense Innovation Unit (DIU) Prototyping,,Defense-Wide,RDT&E,
,"$ 5,000",,"$ 5,000",Tactical augmented reality,,,,Yes,,,Defense Innovation Unit (DIU) Prototyping,,Defense-Wide,RDT&E,
,,"$ 4,500",,Program increase,,,,No,,,Department of Defense Corrosion Program,,Defense-Wide,RDT&E,
,,,"$ 2,500",Office of Net Assessment,,,Yes,No,,,ODNA Technology and Resource Analysis,,Defense-Wide,RDT&E,
,"$ 12,000",,,Cyber Security Research for establishing a Connected Vehicle Cybersecurity Center,70,James (MI),,Yes,,,,,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,"$ 6,000",,,Cyber Talent & Curriculum Development/ Platform & Critical Infrastructure Defense Cybersecurity Research,191,"Wilson (SC), Kiggans (VA)",,Yes,,,,,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,"$ 10,000",,,For the advancement of high-performance wireless RF-based power-at-a-distance in creating a persistent tether-less drone capability,136,"Nunn (IA), Mullin (CA)",,Yes,,,,,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,"$ 5,000",,,For the Defense Critical Alloy Production Capacity Expansion program,78,Kelly (PA),,Yes,,,,,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,"$ 5,000",,,For the Department of Defense Chief Information Officer's Information Systems Security Program,76,"Kelly (MS), Guest (MS)",,No,,,,,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,"$ 1,000",,,For the purposes of directing the Secretary of Defense to conduct a comprehensive investigation into instances of equipment loss due to improper storage practices,177,Van Drew (NJ),,Yes,,,,,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,"$ 26,000",,,Multi-Mission Tactical Unmanned Aerial Systems,43,"Fallon (TX), Veasy (TX)",,No,,,,,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,"$ 20,000",,,Multi-Service Advanced Capability Hypersonics Test Bed (MACH-TB) Acceleration,93,"Lamborn (CO), Banks (IN), et al.",,No,,,,,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,"$ 5,000",,,Small Unmanned Systems Hive Swarm for Special Operations Forces,12,Bergman (MI),,Yes,,,,,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,"$ 3,000",,,To combat future military training accidents and research ways to prevent them,19,Buchanan (FL),,Yes,,,,,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,"$ 3,000",,,To develop and enhance the cost and payload capabilities of affordable attritable autonomous underwater vehicles,2,"Amo, Gabe (RI), Kelly (MS), Kiggans (VA), Magaziner (RI)",,No,,,,,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,"$ 8,000",,,To support the Rapid Advanced Manufacturing Processing (RAMP) program to develop the next generation of advanced manufacturing technologies and to provide the Navy with new manufacturing capabilities that will reduce costs and manufacturing/repair times,31,"Cohen (TN), DesJarlais (TN), Kustoff (TN)",,Yes,,,,,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,,"$ 2,000",,AAG/EMALS model-based systems engineering,,,,Yes,,,Advanced Arresting Gear (AAG),,Navy,RDT&E,
,"$ 5,000",,,Navy data aggregation enterprise,,,,No,,,Advanced Combat Systems Technology,,Navy,RDT&E,
,"$ 5,000","$ 9,000","$ 5,000",Threat adaptive command and control / Threat adaptive command and control - Minotaur,,,,Yes,,,Advanced Combat Systems Technology,,Navy,RDT&E,
,,"$ 4,000",,Universal AI/ML core environment,,,,Yes,,,Advanced Combat Systems Technology,,Navy,RDT&E,
,,"$ 15,000","$ 15,000",Radar improvement,,,,No,,,Advanced Hawkeye,,Navy,RDT&E,
,,"$ 6,000",,Program increase,,,,Yes,,,Advanced Sensors Application Program (ASAP),,Navy,RDT&E,
,,"$ 10,000","$ 10,000",Advanced hull coatings,,,,No,,,Advanced Submarine System Development,,Navy,RDT&E,
,"$ 4,000",,,Novel Conformal Acoustic Velocity Sonar (CAVES) array materials development,,,,No,,,Advanced Submarine System Development,,Navy,RDT&E,
,"$ 2,000",,,For Integration of Insulated Bus Pipe (IBP) into Warship Designs to support shipboard distribution of high-power energy,83,"Kiggans (VA), Moylan (GU)",,Yes,,,Advanced Surface Machinery Systems,,Navy,RDT&E,"O&M, Navy"
,,"$ 6,000",,Large format lithium ion batteries,,,,Yes,,,Advanced Surface Machinery Systems,,Navy,RDT&E,
,"$ 10,900",,,Silicon carbide flexible bus node,,,,Yes,,,Advanced Surface Machinery Systems,,Navy,RDT&E,
,"$ 5,000",,"$ 5,000",Silicon carbide power electronics and system integration,,,,Yes,,,Advanced Surface Machinery Systems,,Navy,RDT&E,
,"$ 10,000","$ 9,000","$ 9,000",Autonomous Surface & Underwater Dual-Modality Vehicles / Autonomous surface and subsurface dual-modality system,40,"Ezell (MS), Kelly (MS), Guest (MS)",,Yes,,,Air/Ocean Tactical Applications,,Navy,RDT&E,"O&M, Defense-Wide"
,"$ 100,000",,"$ 53,343",Program increase,,,,Yes,,,ATRT Rapid Enterprise Capability,,Navy,RDT&E,
,"$ 15,000",,"$ 15,000",ATRT for Project Overmatch,,,,Yes,,,Automated Test and Re-Test (ATRT),,Navy,RDT&E,
,"$ 2,000",,,Radar FOD finding systems,,,,Yes,,,Aviation Improvements,,Navy,RDT&E,
,"$ 413,328",,"$ 413,328",Classified adjustment,,,,No,,,Chalk Coral,,Navy,RDT&E,
,"$ 25,000",,,Classified adjustment,,,,No,,,Chalk Eagle,,Navy,RDT&E,
,"$ 6,700","$ 75,000","$ 58,200",Classified adjustment,,,,No,,,Classified Programs,,Navy,RDT&E,
,,"$ 2,500",,Embedded cyber systems for naval infrastructure,,,,No,,,Common Picture Applied Research,,Navy,RDT&E,
,,"$ 25,700",,2 AUR + Cs,,,,No,,,Conventional Prompt Strike (CPS),,Navy,RDT&E,
,,"$ 2,000",,Silicon carbide ceramic composites,,,,Yes,,,Conventional Prompt Strike (CPS),,Navy,RDT&E,
,"$ 9,800",,,Advanced capabilities and system hardening for the Marine Corps BEAM CUxS,,,,Yes,,,Counter Unmanned Aircraft Systems (C-UAS),,Navy,RDT&E,
,"$ 5,000",,,Automated air-to-air refueling,,,,Yes,,,Counter Unmanned Aircraft Systems (C-UAS),,Navy,RDT&E,
,"$ 10,000","$ 4,000","$ 4,000",Hypersonic workforce development,,,,Yes,,,Defense Research Sciences,,Navy,RDT&E,
,,"$ 6,000","$ 6,000",Materials and structures in extreme environments,,,,No,,,Defense Research Sciences,,Navy,RDT&E,
,,"$ 6,000",,Remote sensing to monitor arctic ice,,,,Yes,,,Defense Research Sciences,,Navy,RDT&E,
,,"$ 2,500","$ 2,500",Shaping metallic surfaces for thermal system management,,,,Yes,,,Defense Research Sciences,,Navy,RDT&E,
,"$ 8,000",,,Silicon-germanium-tin alloy research,,,,Yes,,,Defense Research Sciences,,Navy,RDT&E,
,,"$ 10,000","$ 10,000",100KW directed energy production,,,,Yes,,,Directed Energy and Electric Weapon Systems,,Navy,RDT&E,
,"$ 7,000",,,Machine learning technologies for geospatial features,,,,No,,,Distributed Common Ground/Surface Systems,,Navy,RDT&E,
,,"$ 5,000",,Assured communications and EMI mitigation,,,,Yes,,,EA-18,,Navy,RDT&E,
,,"$ 4,000",,Augmented context-based identity awareness,,,,Yes,,,Electromagnetic Systems Advanced Technology,,Navy,RDT&E,
,,"$ 2,500",,Wideband RF spectrum monitoring,,,,No,,,Electromagnetic Systems Advanced Technology,,Navy,RDT&E,
,"$ 8,000",,"$ 8,000",Advanced antenna technology for E-2D,,,,Yes,,,Electromagnetic Systems Applied Research,,Navy,RDT&E,
,,"$ 3,000",,Dark swarm in denied environments,,,,Yes,,,Electromagnetic Systems Applied Research,,Navy,RDT&E,
,,"$ 1,000",,Digital airborne radar,,,,Yes,,,Electromagnetic Systems Applied Research,,Navy,RDT&E,
,,"$ 1,000",,Maritime asymmetric target detection,,,,Yes,,,Electromagnetic Systems Applied Research,,Navy,RDT&E,
,,"$ 3,000","$ 3,000",Miniaturized full spectrum hyperspectral sensor,,,,No,,,Electromagnetic Systems Applied Research,,Navy,RDT&E,
,,,"$ 90,000",Classified Adjustment,,,Yes,No,,,Electronic Warfare (EW) Readiness Support,,Navy,RDT&E,
,,"$ 1,000",,Environmental DNA monitoring,,,,Yes,,,Environmental Protection,,Navy,RDT&E,
,"$ 10,000",,,F/A-18 advanced carrier landing navigation capability,,,,Yes,,,F/A-18 Squadrons,,Navy,RDT&E,
,"$ 8,000","$ 3,000","$ 3,000",Deployable Additive Manufacturing of Composite Unmanned Undersea Vehicles / Deployable additive manufacturing of composite UUVs / Deployable additive manufacturing of composite unmanned underwater vehicles,3,"Amo, Gabe (RI), Magaziner (RI)",,Yes,,,Force Protection Advanced Technology,,Navy,RDT&E,"RDT&E, Navy"
,,,,Fire extinguishing structures and insulation,,,,Yes,,,Force Protection Advanced Technology,,Navy,RDT&E,
,"$ 5,000",,,"For the adaptation, development, and testing of modern “Zero Trust Architectures for Naval Power Systems”",36,Dunn (FL),,Yes,,,Force Protection Advanced Technology,,Navy,RDT&E,"O&M, Defense-Wide"
,"$ 10,000",,,Power conversion technology for next generation ships,,,,Yes,,,Force Protection Advanced Technology,,Navy,RDT&E,
,"$ 5,000",,"$ 5,000",Self-extinguishing and thermal isolating materials,,,,Yes,,,Force Protection Advanced Technology,,Navy,RDT&E,
,,"$ 5,000","$ 5,000",Additive manufacturing for bonded metal matrix composites,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,,"$ 25,000","$ 25,000",Alternative energy research,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,"$ 9,600",,,Coastal environmental research,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,,"$ 5,000",,Corrosion control coatings and material,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,,"$ 5,000",,Direct air capture and blue carbon removal,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,,"$ 5,000","$ 2,500",Emerging robotic advanced manufacturing technology,,,,No,,,Force Protection Applied Research,,Navy,RDT&E,
,"$ 5,000","$ 5,000","$ 5,000",For Intelligent Data Management for Distributed Naval Platforms / Intelligent data management for distributed platforms,99,Letlow (LA),,Yes,,,Force Protection Applied Research,,Navy,RDT&E,"RDT&E, Navy"
,"$ 10,000",,,Large-scale wire arc additive manufacturing for unmanned underwater vehicles,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,,"$ 5,000","$ 2,500",Multi-material flexible automated manufacturing,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,"$ 6,000",,"$ 6,000",Precision AI enabled Naval supply chain logistics,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,,"$ 7,000","$ 7,000",Resilient innovative sustainable economies via university partnerships,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,"$ 10,000",,,Seawater to jet fuel demonstration,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,,"$ 10,000",,SIOP (emergency),,,,Yes,,Yes,Force Protection Applied Research,,Navy,RDT&E,
,,"$ 10,000","$ 8,000",Stealth engineering automation,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,"$ 5,000","$ 10,000","$ 5,000",Talent and Technology for Navy Power and Energy Systems,186,Wilson (SC),,No,,,Force Protection Applied Research,,Navy,RDT&E,"O&M, Defense-Wide"
,,"$ 2,000",,UAS degraded environment facility,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,,"$ 5,000","$ 5,000",University-based advanced materials and manufacturing,,,,Yes,,,Force Protection Applied Research,,Navy,RDT&E,
,"$ 8,000",,,CO2 removal from recirculated air in submersibles,,,,Yes,,,Future Naval Capabilities Advanced Technology Development,,Navy,RDT&E,
,,"$ 5,000","$ 5,000",Electronic maneuver warfare unmanned sensor,,,,Yes,,,Future Naval Capabilities Advanced Technology Development,,Navy,RDT&E,
,"$ 2,200",,,Installed systems test chamber capacity,,,,Yes,,,Future Naval Capabilities Advanced Technology Development,,Navy,RDT&E,
,"$ 5,000","$ 3,000","$ 3,000",To support integration of aligned Carbon Nanotube Technology for mission critical Navy systems / Carbon nanotube integration,110,McCormick (GA),,Yes,,,Future Naval Capabilities Advanced Technology Development,,Navy,RDT&E,"RDT&E, Navy"
,,"$ 2,500",,Climate change risk management,,,,Yes,,,Future Naval Capabilities Applied Research,,Navy,RDT&E,
,"$ 8,000",,,QuickStrike Kinetic Improvements,135,Norton (DC),,Yes,INDOPACOM,,Future Naval Capabilities Applied Research,,Navy,RDT&E,"RDT&E, Navy"
,,"$ 3,000",,System interconnect for maneuver EW,,,,Yes,,,Future Naval Capabilities Applied Research,,Navy,RDT&E,
,"$ 10,000",,,"To develop a quantum communications corridor connecting certain Department of Defense installations, national laboratories, and universities conducting Department of Defense research",10,"Banks (IN), Bucshon (IN), Houchin (IN)",,Yes,,,Future Naval Capabilities Applied Research,,Navy,RDT&E,"RDT&E, Navy"
,"$ 10,000",,,"Integration, testing, and use of commercial autonomy kits for the ROGUE Fires Program",,,,Yes,,,Ground Based Anti-Ship Missile,,Navy,RDT&E,
,"$ 11,500",,"$ 11,500",Cyber supply chain risk management,,,,No,,,Information Technology Development,,Navy,RDT&E,
,"$ 25,000",,,Operation Cattle Drive deployment of capabilities,,,,Yes,,,Information Technology Development,,Navy,RDT&E,
,"$ 12,700",,,Ship concept advanced design,,,,No,,,Information Technology Development,,Navy,RDT&E,
,"$ 5,000",,,Advanced seeker technology for hypersonic missiles,,,,No,,,Innovative Naval Prototypes (INP) Advanced Technology Development,,Navy,RDT&E,
,"$ 15,000",,,Coherently-combined fiber laser arrays without wavefront sensing,,,,Yes,,,Innovative Naval Prototypes (INP) Advanced Technology Development,,Navy,RDT&E,
,"$ 9,700",,"$ 9,700",GYPSY long range loitering munition,,,,Yes,,,Innovative Naval Prototypes (INP) Advanced Technology Development,,Navy,RDT&E,
,"$ 25,000",,"$ 18,500",ATRT enterprise,,,,No,,,Innovative Naval Prototypes (INP) Applied Research,,Navy,RDT&E,
,,"$ 2,000",,Micro-electromagnetic LiDAR,,,,Yes,,,Innovative Naval Prototypes (INP) Applied Research,,Navy,RDT&E,
,,"$ 10,000",,DSS mobile passive acoustic sensing,,,,Yes,,,Integrated Surveillance System,,Navy,RDT&E,
,,"$ 7,000",,cUAS hard kill,,,,Yes,,,Joint Air-to-Ground Missile (JAGM),,Navy,RDT&E,
,"$ 9,000",,,Novel compact cooling system development for non-lethal directed energy weapons,,,,Yes,,,Joint Non-Lethal Weapons Applied Research,,Navy,RDT&E,
,"$ 10,000",,,For MEO Resilient Network Integreation,54,Gimenez (FL),,Yes,,,Joint Tactical Radio System - Navy (JTRS-NAVY),,Navy,RDT&E,"RDT&E, Navy"
,,"$ 5,500",,Undersea communications network,,,,Yes,,,Joint Tactical Radio System - Navy (JTRS-NAVY),,Navy,RDT&E,
,"$ 5,000","$ 3,000","$ 3,000",Gas turbine power and propulsion system / LUSV gas turbine power and propulsion,,,,Yes,,,Large Unmanned Surface Vehicles (LUSV),,Navy,RDT&E,
,"$ 12,800",,"$ 12,800",Security monitoring at maritime chokepoints,,,,Yes,,,Major T&E Investment,,Navy,RDT&E,
,,"$ 5,000",,Alternative navigation,,,,Yes,,,"Management, Technical & International Support",,Navy,RDT&E,
,,"$ 1,000",,In-water submarine hull coating inspection,,,,Yes,,,Manufacturing Technology Program,,Navy,RDT&E,
,,"$ 3,000",,Metrology and calibration integration,,,,Yes,,,Manufacturing Technology Program,,Navy,RDT&E,
,,"$ 6,500",,Plastic explosive manufacturing,,,,Yes,,,Manufacturing Technology Program,,Navy,RDT&E,
,,"$ 200,000",,Program increase,,,,No,,,Manufacturing Technology Program,,Navy,RDT&E,
,,"$ 2,500",,AESA IFF for MADIS and MRIC,,,,Yes,,,Marine Corps Air Defense Weapons Systems,,Navy,RDT&E,
,"$ 14,400","$ 4,000","$ 14,400",High powered microwave C-UAS / High powered micrawave for cUAS,,,,Yes,,,Marine Corps Air Defense Weapons Systems,,Navy,RDT&E,
,"$ 15,000",,,Archer program,,,,Yes,,,Marine Corps Communications Systems,,Navy,RDT&E,
,"$ 5,000",,,Testing and evaluation of silicon anode-based lithium-ion batteries,,,,Yes,,,Marine Corps Landing Force Technology,,Navy,RDT&E,
,"$ 5,000","$ 4,750","$ 4,750",Unmanned Logistics for USMC / Unmanned logistics solutions,190,"Wilson (SC), Kiggans (VA)",,No,,,Marine Corps Landing Force Technology,,Navy,RDT&E,"O&M, Defense-Wide"
,"$ 10,000",,,Common operational picture AI,,,,Yes,,,Maritime Tactical Command and Control (MTC2) - Softeware Pilot Program,,Navy,RDT&E,
,"$ 14,000",,,Military dental research program,,,,Yes,,,Medical Development,,Navy,RDT&E,
,"$ 10,000","$ 1,000","$ 1,000",Improved geophysical sensing and characterization of the mine hunting environment / Geophysical sensing and characterization of the mine-hunting environment,41,"Ezell (MS), Kelly (MS), Guest (MS)",,Yes,,,Mine and Expeditionary Warfare Applied Research,,Navy,RDT&E,"O&M, Defense-Wide"
,"$ 5,000",,"$ 5,000",Powered quickstrike mine development,,,,No,INDOPACOM,,Mine Development,,Navy,RDT&E,
,"$ 10,000",,"$ 10,000",Modeling and simulation toolkit,,,,Yes,,,Modeling and Simulation Support,,Navy,RDT&E,
,,"$ 5,000","$ 5,000",MH-60 capability upgrades,,,,No,,,Multi-Mission Helicopter Upgrade Development,,Navy,RDT&E,
,"$ 10,000",,,MH-60 tactical edge network,,,,Yes,,,Multi-Mission Helicopter Upgrade Development,,Navy,RDT&E,
,"$ 5,000",,,Autonomy kits for port and airfield damage repair,,,,Yes,,,Naval Construction Forces,,Navy,RDT&E,
,"$ 8,000",,,IFF crypto modernization for small UAS,,,,No,,,Navigation/ID System,,Navy,RDT&E,
,,"$ 7,400","$ 5,000",Cargo drone advanced batteries,,,,Yes,,,Navy Energy Program,,Navy,RDT&E,
